Loading previously saved residue dgl graphs...
[0;30;43m Pre-training VQ-VAE | Epoch: 1,  Batch: 0 | Train Loss: 1.82080 | 0.00759 0.65063 1.17083[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 11, Batch: 0 | Train Loss: 0.07513 | 0.00329 0.05143 0.02056[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 21, Batch: 0 | Train Loss: 0.06470 | 0.00324 0.04287 0.01872[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 31, Batch: 0 | Train Loss: 0.06180 | 0.00316 0.04161 0.01715[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 41, Batch: 0 | Train Loss: 0.06634 | 0.00328 0.04128 0.02193[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 51, Batch: 0 | Train Loss: 0.06394 | 0.00329 0.04141 0.01937[0m
Loading previously saved dgl graphs and corresponding data...
Loading previously saved dgl graphs and corresponding data...
Loading previously saved dgl graphs and corresponding data...
the number of train data: 11904
the number of valid data: 1000
the number of test data: 285
epoch:224 	 train_rmse:0.3402 	 valid_rmse:1.2244 	 time:78.000 s
epoch:225 	 train_rmse:0.3444 	 valid_rmse:1.2574 	 time:78.000 s
epoch:226 	 train_rmse:0.3601 	 valid_rmse:1.2455 	 time:78.000 s
epoch:227 	 train_rmse:0.3352 	 valid_rmse:1.2219 	 time:78.000 s
epoch:228 	 train_rmse:0.3334 	 valid_rmse:1.2181 	 time:78.000 s
epoch:229 	 train_rmse:0.3119 	 valid_rmse:1.2333 	 time:78.000 s
epoch:230 	 train_rmse:0.3509 	 valid_rmse:1.2268 	 time:78.000 s
epoch:231 	 train_rmse:0.3701 	 valid_rmse:1.2457 	 time:78.000 s
epoch:232 	 train_rmse:0.3895 	 valid_rmse:1.2395 	 time:78.000 s
epoch:233 	 train_rmse:0.3726 	 valid_rmse:1.2389 	 time:78.000 s
epoch:234 	 train_rmse:0.3711 	 valid_rmse:1.2530 	 time:78.000 s
epoch:235 	 train_rmse:0.3348 	 valid_rmse:1.2312 	 time:78.000 s
epoch:236 	 train_rmse:0.3664 	 valid_rmse:1.2222 	 time:78.000 s
epoch:237 	 train_rmse:0.3229 	 valid_rmse:1.2155 	 time:78.000 s
epoch:238 	 train_rmse:0.3192 	 valid_rmse:1.2113 	 time:78.000 s
epoch:239 	 train_rmse:0.3646 	 valid_rmse:1.2435 	 time:78.000 s
epoch:240 	 train_rmse:0.3307 	 valid_rmse:1.2112 	 time:78.000 s
epoch:241 	 train_rmse:0.3392 	 valid_rmse:1.2259 	 time:78.000 s
epoch:242 	 train_rmse:0.3517 	 valid_rmse:1.2275 	 time:78.000 s
epoch:243 	 train_rmse:0.3580 	 valid_rmse:1.2217 	 time:78.000 s
epoch:244 	 train_rmse:0.3464 	 valid_rmse:1.2176 	 time:78.000 s
epoch:245 	 train_rmse:0.3552 	 valid_rmse:1.2488 	 time:78.000 s
epoch:246 	 train_rmse:0.3708 	 valid_rmse:1.2442 	 time:78.000 s
epoch:247 	 train_rmse:0.3397 	 valid_rmse:1.2250 	 time:78.000 s
epoch:248 	 train_rmse:0.3316 	 valid_rmse:1.2226 	 time:78.000 s
epoch:249 	 train_rmse:0.3329 	 valid_rmse:1.2293 	 time:78.000 s
epoch:250 	 train_rmse:0.3084 	 valid_rmse:1.2405 	 time:78.000 s
epoch:251 	 train_rmse:0.3311 	 valid_rmse:1.2235 	 time:78.000 s
epoch:252 	 train_rmse:0.3387 	 valid_rmse:1.2410 	 time:78.000 s
